date,sub_n,trial_type,trial_num,line_len,distribution,jnds,key_choice,yn_choice,correct,rt
20210928,101,learn,175,397.6065,in,19.98,i,NO,FALSE,766
20210928,101,learn,176,278.7375,in,12.7,u,YES,TRUE,710
20210928,101,learn,177,260.5878,in,11.32,u,YES,TRUE,618
20210928,101,learn,178,354.016,in,17.6,u,YES,TRUE,734
20210928,101,learn,179,224.886,in,8.3,u,YES,TRUE,4754
20210928,101,learn,180,328.3911,out,16.06,i,NO,TRUE,1938
20210928,101,learn,181,389.5417,in,19.56,i,NO,FALSE,756
20210928,101,learn,182,315.3583,out,15.23,u,YES,FALSE,774
20210928,101,learn,183,319.8521,in,15.52,u,YES,TRUE,3268
20210928,101,learn,184,282.8474,out,13,u,YES,FALSE,828
20210928,101,learn,185,235.3252,out,9.23,u,YES,FALSE,1478
20210928,101,learn,186,259.5727,in,11.24,u,YES,TRUE,1568
20210928,101,learn,187,197.1294,out,5.6,u,YES,FALSE,896
20210928,101,learn,188,219.6805,in,7.82,u,YES,TRUE,684
20210928,101,learn,189,282.5715,out,12.98,i,NO,TRUE,3334
20210928,101,learn,190,234.4085,out,9.15,u,YES,FALSE,738
20210928,101,learn,191,197.4181,in,5.63,u,YES,TRUE,2242
20210928,101,learn,192,308.8111,in,14.8,i,NO,FALSE,732
20210928,101,learn,193,289.5496,in,13.48,i,NO,FALSE,876
20210928,101,learn,194,261.0969,out,11.36,u,YES,FALSE,672
20210928,101,learn,195,395.4783,out,19.87,i,NO,TRUE,756
20210928,101,learn,196,228.6477,in,8.64,u,YES,TRUE,932
20210928,101,learn,197,288.4217,in,13.4,u,YES,TRUE,938
20210928,101,learn,198,170.787,out,2.66,i,NO,TRUE,968
20210928,101,learn,199,179.6767,out,3.7,u,YES,FALSE,1792
20210928,101,learn,200,215.1197,in,7.39,u,YES,TRUE,742
20210929,102,learn,1,324.5682,in,15.82,u,YES,TRUE,5824
20210929,102,learn,2,282.5715,out,12.98,u,YES,FALSE,1206
20210929,102,learn,3,150.8808,out,0.12,i,NO,TRUE,1788
20210929,102,learn,4,304.621,out,14.52,u,YES,FALSE,2198
